obp_algorithm,prp_algorithm,ls_algorithm,time,capacity_device,num_orders,before_distance,after_distance
G01,LGAP,LS_1x0,1571713,30,20,4056,4056
G01,LGAP,LS_1x1,557371,30,20,4056,4056
G01,LGAP,LS_1x2,5067910,30,20,4056,4056
G01,LGAP,LS_2x2,7882743,30,20,4056,4056
G02,LGAP,LS_1x0,2983697,30,20,4417,4417
G02,LGAP,LS_1x1,669015,30,20,4417,4381
G02,LGAP,LS_1x2,3758287,30,20,4417,4417
G02,LGAP,LS_2x2,720650,30,20,4417,4417
G03,LGAP,LS_1x0,2158476,30,20,4209,4209
G03,LGAP,LS_1x1,783025,30,20,4209,4159
G03,LGAP,LS_1x2,3941397,30,20,4209,4209
G03,LGAP,LS_2x2,1248212,30,20,4209,4209
G01,LGAP,LS_1x0,568961,30,20,3161,3161
G01,LGAP,LS_1x1,513428,30,20,3161,3161
G01,LGAP,LS_1x2,919162,30,20,3161,3037
G01,LGAP,LS_2x2,8641448,30,20,3161,3161
G02,LGAP,LS_1x0,4670789,30,20,3836,3836
G02,LGAP,LS_1x1,873305,30,20,3836,3763
G02,LGAP,LS_1x2,5224116,30,20,3836,3762
G02,LGAP,LS_2x2,1550822,30,20,3836,3826
G03,LGAP,LS_1x0,1744474,30,20,3269,3269
G03,LGAP,LS_1x1,821776,30,20,3269,3269
G03,LGAP,LS_1x2,3506389,30,20,3269,3269
G03,LGAP,LS_2x2,4840204,30,20,3269,3269
G01,LGAP,LS_1x0,2011493,30,20,3708,3708
G01,LGAP,LS_1x1,868898,30,20,3708,3708
G01,LGAP,LS_1x2,2808539,30,20,3708,3708
G01,LGAP,LS_2x2,5283663,30,20,3708,3708
G02,LGAP,LS_1x0,7891135,30,20,4164,4164
G02,LGAP,LS_1x1,1736393,30,20,4164,4164
G02,LGAP,LS_1x2,4569494,30,20,4164,4094
G02,LGAP,LS_2x2,911513,30,20,4164,4164
G03,LGAP,LS_1x0,3405776,30,20,3716,3716
G03,LGAP,LS_1x1,1385461,30,20,3716,3716
G03,LGAP,LS_1x2,6488290,30,20,3716,3716
G03,LGAP,LS_2x2,5215769,30,20,3716,3716
G01,LGAP,LS_1x0,2735296,30,20,4177,4177
G01,LGAP,LS_1x1,1367663,30,20,4177,4177
G01,LGAP,LS_1x2,5216024,30,20,4177,4177
G01,LGAP,LS_2x2,3909355,30,20,4177,4177
G02,LGAP,LS_1x0,2577886,30,20,4548,4548
G02,LGAP,LS_1x1,1125418,30,20,4548,4548
G02,LGAP,LS_1x2,4008425,30,20,4548,4496
G02,LGAP,LS_2x2,1413454,30,20,4548,4548
G03,LGAP,LS_1x0,2395869,30,20,4435,4435
G03,LGAP,LS_1x1,1078055,30,20,4435,4435
G03,LGAP,LS_1x2,2966809,30,20,4435,4435
G03,LGAP,LS_2x2,2237341,30,20,4435,4435
G01,LGAP,LS_1x0,814166,30,20,3853,3853
G01,LGAP,LS_1x1,520539,30,20,3853,3853
G01,LGAP,LS_1x2,1253592,30,20,3853,3840
G01,LGAP,LS_2x2,11338111,30,20,3853,3853
G02,LGAP,LS_1x0,3766407,30,20,4465,4465
G02,LGAP,LS_1x1,921588,30,20,4465,4465
G02,LGAP,LS_1x2,3300911,30,20,4465,4410
G02,LGAP,LS_2x2,772004,30,20,4465,4465
G03,LGAP,LS_1x0,1353005,30,20,3966,3966
G03,LGAP,LS_1x1,887370,30,20,3966,3906
G03,LGAP,LS_1x2,3141127,30,20,3966,3966
G03,LGAP,LS_2x2,6199162,30,20,3966,3966
G01,LGAP,LS_1x0,1311149,30,20,3268,3268
G01,LGAP,LS_1x1,608306,30,20,3268,3182
G01,LGAP,LS_1x2,1467761,30,20,3268,3268
G01,LGAP,LS_2x2,6705350,30,20,3268,3268
G02,LGAP,LS_1x0,3185105,30,20,3504,3504
G02,LGAP,LS_1x1,880670,30,20,3504,3430
G02,LGAP,LS_1x2,3337371,30,20,3504,3452
G02,LGAP,LS_2x2,1015551,30,20,3504,3504
G03,LGAP,LS_1x0,1145744,30,20,3230,3230
G03,LGAP,LS_1x1,637502,30,20,3230,3230
G03,LGAP,LS_1x2,2433732,30,20,3230,3156
G03,LGAP,LS_2x2,4118928,30,20,3230,3230
G01,LGAP,LS_1x0,1216495,30,20,3030,2943
G01,LGAP,LS_1x1,589927,30,20,3030,2996
G01,LGAP,LS_1x2,1464822,30,20,3030,2859
G01,LGAP,LS_2x2,6250471,30,20,3030,3006
G02,LGAP,LS_1x0,3948111,30,20,3228,3228
G02,LGAP,LS_1x1,565694,30,20,3228,3097
G02,LGAP,LS_1x2,3237139,30,20,3228,3204
G02,LGAP,LS_2x2,771582,30,20,3228,3177
G03,LGAP,LS_1x0,2117489,30,20,3070,3070
G03,LGAP,LS_1x1,976564,30,20,3070,3030
G03,LGAP,LS_1x2,2845254,30,20,3070,3070
G03,LGAP,LS_2x2,4323619,30,20,3070,3070
G01,LGAP,LS_1x0,1375424,30,20,3189,3189
G01,LGAP,LS_1x1,524410,30,20,3189,3189
G01,LGAP,LS_1x2,1974294,30,20,3189,3189
G01,LGAP,LS_2x2,6596491,30,20,3189,3189
G02,LGAP,LS_1x0,4375041,30,20,3597,3597
G02,LGAP,LS_1x1,1012957,30,20,3597,3597
G02,LGAP,LS_1x2,4144495,30,20,3597,3549
G02,LGAP,LS_2x2,1529497,30,20,3597,3597
G03,LGAP,LS_1x0,1394196,30,20,3049,3005
G03,LGAP,LS_1x1,700831,30,20,3049,3033
G03,LGAP,LS_1x2,1641828,30,20,3049,3005
G03,LGAP,LS_2x2,11363402,30,20,3049,3049
G01,LGAP,LS_1x0,2064659,30,20,4148,4148
G01,LGAP,LS_1x1,556717,30,20,4148,4148
G01,LGAP,LS_1x2,5387707,30,20,4148,4148
G01,LGAP,LS_2x2,3919127,30,20,4148,4148
G02,LGAP,LS_1x0,3503908,30,20,4470,4470
G02,LGAP,LS_1x1,1081741,30,20,4470,4470
G02,LGAP,LS_1x2,2528567,30,20,4470,4470
G02,LGAP,LS_2x2,730000,30,20,4470,4470
G03,LGAP,LS_1x0,2095217,30,20,4053,4053
G03,LGAP,LS_1x1,985769,30,20,4053,4053
G03,LGAP,LS_1x2,4704093,30,20,4053,4053
G03,LGAP,LS_2x2,4710319,30,20,4053,4053
G01,LGAP,LS_1x0,3447303,30,20,4567,4567
G01,LGAP,LS_1x1,1049709,30,20,4567,4550
G01,LGAP,LS_1x2,4676892,30,20,4567,4567
G01,LGAP,LS_2x2,3676734,30,20,4567,4567
G02,LGAP,LS_1x0,3030473,30,20,4951,4951
G02,LGAP,LS_1x1,1139955,30,20,4951,4951
G02,LGAP,LS_1x2,3284311,30,20,4951,4951
G02,LGAP,LS_2x2,631947,30,20,4951,4951
G03,LGAP,LS_1x0,1899039,30,20,4618,4618
G03,LGAP,LS_1x1,669128,30,20,4618,4618
G03,LGAP,LS_1x2,4398695,30,20,4618,4618
G03,LGAP,LS_2x2,2781665,30,20,4618,4618
G01,LGAP,LS_1x0,1340801,30,20,4188,4188
G01,LGAP,LS_1x1,687066,30,20,4188,4168
G01,LGAP,LS_1x2,3669045,30,20,4188,4188
G01,LGAP,LS_2x2,6468836,30,20,4188,4188
G02,LGAP,LS_1x0,3587410,30,20,4718,4718
G02,LGAP,LS_1x1,992739,30,20,4718,4718
G02,LGAP,LS_1x2,2317206,30,20,4718,4718
G02,LGAP,LS_2x2,658712,30,20,4718,4718
G03,LGAP,LS_1x0,1501190,30,20,4118,4118
G03,LGAP,LS_1x1,666097,30,20,4118,4118
G03,LGAP,LS_1x2,3018448,30,20,4118,4118
G03,LGAP,LS_2x2,6515122,30,20,4118,4118
G01,LGAP,LS_1x0,624773,30,20,3754,3754
G01,LGAP,LS_1x1,592094,30,20,3754,3754
G01,LGAP,LS_1x2,791485,30,20,3754,3713
G01,LGAP,LS_2x2,6791105,30,20,3754,3754
G02,LGAP,LS_1x0,3565422,30,20,4217,4217
G02,LGAP,LS_1x1,870532,30,20,4217,4200
G02,LGAP,LS_1x2,2528517,30,20,4217,4130
G02,LGAP,LS_2x2,826133,30,20,4217,4217
G03,LGAP,LS_1x0,1152678,30,20,3895,3895
G03,LGAP,LS_1x1,759368,30,20,3895,3825
G03,LGAP,LS_1x2,2795164,30,20,3895,3895
G03,LGAP,LS_2x2,5424138,30,20,3895,3895
G01,LGAP,LS_1x0,1298290,30,20,3002,3002
G01,LGAP,LS_1x1,688709,30,20,3002,3002
G01,LGAP,LS_1x2,1534332,30,20,3002,2914
G01,LGAP,LS_2x2,3933740,30,20,3002,2966
G02,LGAP,LS_1x0,2708725,30,20,3262,3262
G02,LGAP,LS_1x1,756318,30,20,3262,3262
G02,LGAP,LS_1x2,2529909,30,20,3262,3108
G02,LGAP,LS_2x2,1401699,30,20,3262,3210
G03,LGAP,LS_1x0,1591267,30,20,3129,3129
G03,LGAP,LS_1x1,711523,30,20,3129,3055
G03,LGAP,LS_1x2,1465430,30,20,3129,3129
G03,LGAP,LS_2x2,4195016,30,20,3129,3047
G01,LGAP,LS_1x0,1641850,30,20,4050,4019
G01,LGAP,LS_1x1,603684,30,20,4050,4050
G01,LGAP,LS_1x2,1986230,30,20,4050,4050
G01,LGAP,LS_2x2,5303493,30,20,4050,4050
G02,LGAP,LS_1x0,3518574,30,20,4591,4527
G02,LGAP,LS_1x1,1006676,30,20,4591,4591
G02,LGAP,LS_1x2,2445297,30,20,4591,4591
G02,LGAP,LS_2x2,755515,30,20,4591,4591
G03,LGAP,LS_1x0,2404625,30,20,3936,3936
G03,LGAP,LS_1x1,990793,30,20,3936,3936
G03,LGAP,LS_1x2,4363206,30,20,3936,3936
G03,LGAP,LS_2x2,3458161,30,20,3936,3936
G01,LGAP,LS_1x0,2593687,30,20,4000,4000
G01,LGAP,LS_1x1,704602,30,20,4000,4000
G01,LGAP,LS_1x2,2132724,30,20,4000,4000
G01,LGAP,LS_2x2,4967307,30,20,4000,4000
G02,LGAP,LS_1x0,4330300,30,20,4373,4373
G02,LGAP,LS_1x1,1108771,30,20,4373,4373
G02,LGAP,LS_1x2,2279028,30,20,4373,4373
G02,LGAP,LS_2x2,757306,30,20,4373,4373
G03,LGAP,LS_1x0,2095150,30,20,3952,3952
G03,LGAP,LS_1x1,941244,30,20,3952,3952
G03,LGAP,LS_1x2,5390398,30,20,3952,3952
G03,LGAP,LS_2x2,3125418,30,20,3952,3952
G01,LGAP,LS_1x0,494980,30,20,3541,3541
G01,LGAP,LS_1x1,498166,30,20,3541,3541
G01,LGAP,LS_1x2,570062,30,20,3541,3541
G01,LGAP,LS_2x2,11167065,30,20,3541,3541
G02,LGAP,LS_1x0,3189705,30,20,4081,4081
G02,LGAP,LS_1x1,1170610,30,20,4081,4081
G02,LGAP,LS_1x2,3839525,30,20,4081,4081
G02,LGAP,LS_2x2,1369123,30,20,4081,4081
G03,LGAP,LS_1x0,1184191,30,20,3793,3793
G03,LGAP,LS_1x1,751181,30,20,3793,3793
G03,LGAP,LS_1x2,2180417,30,20,3793,3765
G03,LGAP,LS_2x2,5275167,30,20,3793,3793
G01,LGAP,LS_1x0,1443113,30,20,3486,3486
G01,LGAP,LS_1x1,484825,30,20,3486,3486
G01,LGAP,LS_1x2,1894837,30,20,3486,3486
G01,LGAP,LS_2x2,5098985,30,20,3486,3486
G02,LGAP,LS_1x0,3380344,30,20,3903,3903
G02,LGAP,LS_1x1,898026,30,20,3903,3836
G02,LGAP,LS_1x2,3596465,30,20,3903,3903
G02,LGAP,LS_2x2,1560084,30,20,3903,3903
G03,LGAP,LS_1x0,2436620,30,20,3643,3643
G03,LGAP,LS_1x1,859490,30,20,3643,3643
G03,LGAP,LS_1x2,3332620,30,20,3643,3643
G03,LGAP,LS_2x2,1918824,30,20,3643,3643
G01,LGAP,LS_1x0,2532816,30,20,4768,4768
G01,LGAP,LS_1x1,1182775,30,20,4768,4768
G01,LGAP,LS_1x2,4580142,30,20,4768,4768
G01,LGAP,LS_2x2,2323925,30,20,4768,4768
G02,LGAP,LS_1x0,2675361,30,20,4864,4864
G02,LGAP,LS_1x1,1180349,30,20,4864,4864
G02,LGAP,LS_1x2,3268454,30,20,4864,4864
G02,LGAP,LS_2x2,757735,30,20,4864,4864
G03,LGAP,LS_1x0,3103510,30,20,4918,4918
G03,LGAP,LS_1x1,1371726,30,20,4918,4918
G03,LGAP,LS_1x2,3264287,30,20,4918,4897
G03,LGAP,LS_2x2,907387,30,20,4918,4918
G01,LGAP,LS_1x0,495399,30,20,3257,3257
G01,LGAP,LS_1x1,521662,30,20,3257,3257
G01,LGAP,LS_1x2,831006,30,20,3257,3257
G01,LGAP,LS_2x2,6081759,30,20,3257,3257
G02,LGAP,LS_1x0,2917581,30,20,3604,3604
G02,LGAP,LS_1x1,731332,30,20,3604,3531
G02,LGAP,LS_1x2,2660862,30,20,3604,3530
G02,LGAP,LS_2x2,1906319,30,20,3604,3604
G03,LGAP,LS_1x0,668069,30,20,3358,3358
G03,LGAP,LS_1x1,732014,30,20,3358,3358
G03,LGAP,LS_1x2,886209,30,20,3358,3312
G03,LGAP,LS_2x2,6271412,30,20,3358,3302
G01,LGAP,LS_1x0,1312126,30,20,2992,2992
G01,LGAP,LS_1x1,455081,30,20,2992,2992
G01,LGAP,LS_1x2,1149046,30,20,2992,2894
G01,LGAP,LS_2x2,4613676,30,20,2992,2992
G02,LGAP,LS_1x0,4228472,30,20,3365,3365
G02,LGAP,LS_1x1,690757,30,20,3365,3307
G02,LGAP,LS_1x2,3201847,30,20,3365,3341
G02,LGAP,LS_2x2,1141575,30,20,3365,3365
G03,LGAP,LS_1x0,1485401,30,20,2946,2946
G03,LGAP,LS_1x1,673372,30,20,2946,2946
G03,LGAP,LS_1x2,2717425,30,20,2946,2946
G03,LGAP,LS_2x2,3292575,30,20,2946,2946
G01,LGAP,LS_1x0,1457363,30,20,3662,3662
G01,LGAP,LS_1x1,468315,30,20,3662,3662
G01,LGAP,LS_1x2,2154531,30,20,3662,3662
G01,LGAP,LS_2x2,7672847,30,20,3662,3662
G02,LGAP,LS_1x0,3114181,30,20,3891,3891
G02,LGAP,LS_1x1,713369,30,20,3891,3891
G02,LGAP,LS_1x2,2876153,30,20,3891,3891
G02,LGAP,LS_2x2,1653007,30,20,3891,3891
G03,LGAP,LS_1x0,2179471,30,20,3770,3770
G03,LGAP,LS_1x1,697388,30,20,3770,3728
G03,LGAP,LS_1x2,4027209,30,20,3770,3770
G03,LGAP,LS_2x2,4493922,30,20,3770,3770
G01,LGAP,LS_1x0,1173259,30,20,4180,4180
G01,LGAP,LS_1x1,637780,30,20,4180,4154
G01,LGAP,LS_1x2,4086370,30,20,4180,4180
G01,LGAP,LS_2x2,6539508,30,20,4180,4180
G02,LGAP,LS_1x0,3102956,30,20,4780,4780
G02,LGAP,LS_1x1,1038541,30,20,4780,4780
G02,LGAP,LS_1x2,5337763,30,20,4780,4765
G02,LGAP,LS_2x2,2476359,30,20,4780,4780
G03,LGAP,LS_1x0,2919713,30,20,4428,4428
G03,LGAP,LS_1x1,980474,30,20,4428,4428
G03,LGAP,LS_1x2,4288574,30,20,4428,4398
G03,LGAP,LS_2x2,3954056,30,20,4428,4428
G01,LGAP,LS_1x0,1412738,30,20,3401,3401
G01,LGAP,LS_1x1,614651,30,20,3401,3383
G01,LGAP,LS_1x2,643785,30,20,3401,3354
G01,LGAP,LS_2x2,7444681,30,20,3401,3401
G02,LGAP,LS_1x0,4581039,30,20,3955,3908
G02,LGAP,LS_1x1,1523022,30,20,3955,3955
G02,LGAP,LS_1x2,6238540,30,20,3955,3866
G02,LGAP,LS_2x2,1661511,30,20,3955,3918
G03,LGAP,LS_1x0,2164453,30,20,3479,3479
G03,LGAP,LS_1x1,1602414,30,20,3479,3403
G03,LGAP,LS_1x2,1946352,30,20,3479,3479
G03,LGAP,LS_2x2,7419420,30,20,3479,3479
G01,LGAP,LS_1x0,1169972,30,20,3229,3229
G01,LGAP,LS_1x1,437318,30,20,3229,3229
G01,LGAP,LS_1x2,1055758,30,20,3229,3229
G01,LGAP,LS_2x2,7605678,30,20,3229,3229
G02,LGAP,LS_1x0,2882549,30,20,3515,3515
G02,LGAP,LS_1x1,907267,30,20,3515,3515
G02,LGAP,LS_1x2,3121154,30,20,3515,3515
G02,LGAP,LS_2x2,1179125,30,20,3515,3515
G03,LGAP,LS_1x0,2121629,30,20,3381,3381
G03,LGAP,LS_1x1,924341,30,20,3381,3381
G03,LGAP,LS_1x2,4238591,30,20,3381,3381
G03,LGAP,LS_2x2,2604113,30,20,3381,3343
G01,LGAP,LS_1x0,1981078,30,20,3695,3695
G01,LGAP,LS_1x1,438458,30,20,3695,3695
G01,LGAP,LS_1x2,3852422,30,20,3695,3679
G01,LGAP,LS_2x2,4878214,30,20,3695,3695
G02,LGAP,LS_1x0,3467667,30,20,3956,3920
G02,LGAP,LS_1x1,862219,30,20,3956,3956
G02,LGAP,LS_1x2,3387765,30,20,3956,3956
G02,LGAP,LS_2x2,1037000,30,20,3956,3956
G03,LGAP,LS_1x0,2178908,30,20,3664,3664
G03,LGAP,LS_1x1,1133014,30,20,3664,3592
G03,LGAP,LS_1x2,2939592,30,20,3664,3664
G03,LGAP,LS_2x2,5787460,30,20,3664,3664
G01,LGAP,LS_1x0,1614680,30,20,3626,3626
G01,LGAP,LS_1x1,512140,30,20,3626,3626
G01,LGAP,LS_1x2,3499317,30,20,3626,3626
G01,LGAP,LS_2x2,10042011,30,20,3626,3626
G02,LGAP,LS_1x0,4389173,30,20,3867,3867
G02,LGAP,LS_1x1,948014,30,20,3867,3867
G02,LGAP,LS_1x2,1621053,30,20,3867,3867
G02,LGAP,LS_2x2,527605,30,20,3867,3867
G03,LGAP,LS_1x0,2146252,30,20,3661,3661
G03,LGAP,LS_1x1,774637,30,20,3661,3661
G03,LGAP,LS_1x2,4098107,30,20,3661,3661
G03,LGAP,LS_2x2,4498550,30,20,3661,3661
G01,LGAP,LS_1x0,450184,30,20,3231,3231
G01,LGAP,LS_1x1,545508,30,20,3231,3231
G01,LGAP,LS_1x2,805259,30,20,3231,3201
G01,LGAP,LS_2x2,6552420,30,20,3231,3231
G02,LGAP,LS_1x0,4043014,30,20,3796,3752
G02,LGAP,LS_1x1,831765,30,20,3796,3796
G02,LGAP,LS_1x2,2895193,30,20,3796,3796
G02,LGAP,LS_2x2,694031,30,20,3796,3796
G03,LGAP,LS_1x0,1675341,30,20,3453,3453
G03,LGAP,LS_1x1,735768,30,20,3453,3453
G03,LGAP,LS_1x2,2910547,30,20,3453,3365
G03,LGAP,LS_2x2,2241423,30,20,3453,3453
G01,LGAP,LS_1x0,1383043,30,20,3327,3327
G01,LGAP,LS_1x1,587951,30,20,3327,3327
G01,LGAP,LS_1x2,1915192,30,20,3327,3327
G01,LGAP,LS_2x2,7543978,30,20,3327,3327
G02,LGAP,LS_1x0,4709603,30,20,3876,3849
G02,LGAP,LS_1x1,492758,30,20,3876,3876
G02,LGAP,LS_1x2,3400448,30,20,3876,3787
G02,LGAP,LS_2x2,500492,30,20,3876,3876
G03,LGAP,LS_1x0,2758580,30,20,3518,3518
G03,LGAP,LS_1x1,793200,30,20,3518,3463
G03,LGAP,LS_1x2,3131897,30,20,3518,3456
G03,LGAP,LS_2x2,3253635,30,20,3518,3518
G01,LGAP,LS_1x0,2012436,30,20,3846,3846
G01,LGAP,LS_1x1,583200,30,20,3846,3846
G01,LGAP,LS_1x2,3904402,30,20,3846,3846
G01,LGAP,LS_2x2,5836274,30,20,3846,3846
G02,LGAP,LS_1x0,4076082,30,20,4234,4234
G02,LGAP,LS_1x1,991950,30,20,4234,4194
G02,LGAP,LS_1x2,3271806,30,20,4234,4134
G02,LGAP,LS_2x2,638200,30,20,4234,4234
G03,LGAP,LS_1x0,2348336,30,20,3778,3778
G03,LGAP,LS_1x1,642390,30,20,3778,3778
G03,LGAP,LS_1x2,4762500,30,20,3778,3778
G03,LGAP,LS_2x2,4369501,30,20,3778,3778
G01,LGAP,LS_1x0,1128718,30,20,3818,3818
G01,LGAP,LS_1x1,581059,30,20,3818,3784
G01,LGAP,LS_1x2,3030624,30,20,3818,3818
G01,LGAP,LS_2x2,7131577,30,20,3818,3818
G02,LGAP,LS_1x0,4630540,30,20,4382,4322
G02,LGAP,LS_1x1,986504,30,20,4382,4382
G02,LGAP,LS_1x2,12119172,30,20,4382,4382
G02,LGAP,LS_2x2,895952,30,20,4382,4344
G03,LGAP,LS_1x0,2446632,30,20,4036,4036
G03,LGAP,LS_1x1,880422,30,20,4036,4036
G03,LGAP,LS_1x2,3257490,30,20,4036,4036
G03,LGAP,LS_2x2,3049213,30,20,4036,4036
G01,LGAP,LS_1x0,1474052,30,20,3714,3714
G01,LGAP,LS_1x1,598764,30,20,3714,3714
G01,LGAP,LS_1x2,2450888,30,20,3714,3714
G01,LGAP,LS_2x2,7756272,30,20,3714,3714
G02,LGAP,LS_1x0,4176156,30,20,4226,4226
G02,LGAP,LS_1x1,1045747,30,20,4226,4226
G02,LGAP,LS_1x2,3771732,30,20,4226,4226
G02,LGAP,LS_2x2,1107212,30,20,4226,4226
G03,LGAP,LS_1x0,1276839,30,20,3660,3660
G03,LGAP,LS_1x1,813872,30,20,3660,3660
G03,LGAP,LS_1x2,1730833,30,20,3660,3660
G03,LGAP,LS_2x2,8025026,30,20,3660,3660
G01,LGAP,LS_1x0,1399639,30,20,3720,3720
G01,LGAP,LS_1x1,439099,30,20,3720,3668
G01,LGAP,LS_1x2,2001396,30,20,3720,3720
G01,LGAP,LS_2x2,7622532,30,20,3720,3720
G02,LGAP,LS_1x0,3654735,30,20,4223,4223
G02,LGAP,LS_1x1,1027508,30,20,4223,4223
G02,LGAP,LS_1x2,3500796,30,20,4223,4223
G02,LGAP,LS_2x2,1464290,30,20,4223,4223
G03,LGAP,LS_1x0,1924392,30,20,3771,3771
G03,LGAP,LS_1x1,709767,30,20,3771,3771
G03,LGAP,LS_1x2,4177933,30,20,3771,3705
G03,LGAP,LS_2x2,2750420,30,20,3771,3771
G01,LGAP,LS_1x0,1391449,30,20,4396,4396
G01,LGAP,LS_1x1,821526,30,20,4396,4396
G01,LGAP,LS_1x2,3834420,30,20,4396,4396
G01,LGAP,LS_2x2,3529952,30,20,4396,4396
G02,LGAP,LS_1x0,2680288,30,20,4953,4919
G02,LGAP,LS_1x1,1204651,30,20,4953,4953
G02,LGAP,LS_1x2,3423657,30,20,4953,4953
G02,LGAP,LS_2x2,870801,30,20,4953,4953
G03,LGAP,LS_1x0,2083945,30,20,4562,4562
G03,LGAP,LS_1x1,1121584,30,20,4562,4546
G03,LGAP,LS_1x2,3750229,30,20,4562,4562
G03,LGAP,LS_2x2,1934987,30,20,4562,4562
G01,LGAP,LS_1x0,1799655,30,20,3867,3867
G01,LGAP,LS_1x1,468498,30,20,3867,3867
G01,LGAP,LS_1x2,4942689,30,20,3867,3867
G01,LGAP,LS_2x2,6397337,30,20,3867,3867
G02,LGAP,LS_1x0,3433567,30,20,4219,4195
G02,LGAP,LS_1x1,957672,30,20,4219,4219
G02,LGAP,LS_1x2,2444694,30,20,4219,4219
G02,LGAP,LS_2x2,786015,30,20,4219,4219
G03,LGAP,LS_1x0,2295572,30,20,3992,3992
G03,LGAP,LS_1x1,578917,30,20,3992,3992
G03,LGAP,LS_1x2,4353055,30,20,3992,3992
G03,LGAP,LS_2x2,2010790,30,20,3992,3980
G01,LGAP,LS_1x0,825381,30,20,4104,4104
G01,LGAP,LS_1x1,523792,30,20,4104,4104
G01,LGAP,LS_1x2,2746654,30,20,4104,4060
G01,LGAP,LS_2x2,8483611,30,20,4104,4104
G02,LGAP,LS_1x0,3271123,30,20,4702,4619
G02,LGAP,LS_1x1,777782,30,20,4702,4662
G02,LGAP,LS_1x2,4538715,30,20,4702,4676
G02,LGAP,LS_2x2,851561,30,20,4702,4702
G03,LGAP,LS_1x0,2449706,30,20,4028,3981
G03,LGAP,LS_1x1,954368,30,20,4028,4028
G03,LGAP,LS_1x2,3961182,30,20,4028,4028
G03,LGAP,LS_2x2,4322954,30,20,4028,4028
G01,LGAP,LS_1x0,2240341,30,20,4166,4166
G01,LGAP,LS_1x1,505571,30,20,4166,4166
G01,LGAP,LS_1x2,6305001,30,20,4166,4166
G01,LGAP,LS_2x2,5006950,30,20,4166,4166
G02,LGAP,LS_1x0,3451000,30,20,4568,4568
G02,LGAP,LS_1x1,1036561,30,20,4568,4568
G02,LGAP,LS_1x2,3706361,30,20,4568,4392
G02,LGAP,LS_2x2,723377,30,20,4568,4568
G03,LGAP,LS_1x0,2204658,30,20,4159,4159
G03,LGAP,LS_1x1,988038,30,20,4159,4159
G03,LGAP,LS_1x2,5692364,30,20,4159,4159
G03,LGAP,LS_2x2,3555456,30,20,4159,4159
G01,LGAP,LS_1x0,2065560,30,20,3730,3730
G01,LGAP,LS_1x1,835432,30,20,3730,3730
G01,LGAP,LS_1x2,1935994,30,20,3730,3730
G01,LGAP,LS_2x2,5874102,30,20,3730,3730
G02,LGAP,LS_1x0,4073200,30,20,4017,4017
G02,LGAP,LS_1x1,1003515,30,20,4017,4017
G02,LGAP,LS_1x2,1827795,30,20,4017,4017
G02,LGAP,LS_2x2,612983,30,20,4017,4017
G03,LGAP,LS_1x0,2456272,30,20,3756,3756
G03,LGAP,LS_1x1,607163,30,20,3756,3756
G03,LGAP,LS_1x2,2307449,30,20,3756,3729
G03,LGAP,LS_2x2,3871454,30,20,3756,3756
G01,LGAP,LS_1x0,1721117,45,20,3147,3147
G01,LGAP,LS_1x1,1049164,45,20,3147,3147
G01,LGAP,LS_1x2,1297102,45,20,3147,3107
